,0,1,2,3,4
App_id,0,0,0,0,0
Label,Avg-Duration,Min-Duration,Max-Duration,Median-Duration,MainRank-Duration
Unit,s,s,s,s,s
Convergence_goal,True,False,False,False,False
Converged,True,False,False,False,False
Converged_run,93,0,0,0,0
Run 1,1000,1000,1000,1000,1000
Run 2,1000,1000,1000,1000,1000
Run 3,1000,1000,1000,1000,1000
Run 4,1000,1000,1000,1000,1000
Run 5,1000,1000,1000,1000,1000
Run 6,1000,1000,1000,1000,1000
Run 7,1000,1000,1000,1000,1000
Run 8,1000,1000,1000,1000,1000
Run 9,1000,1000,1000,1000,1000
Run 10,1000,1000,1000,1000,1000
Run 11,1000,1000,1000,1000,1000
Run 12,1000,1000,1000,1000,1000
Run 13,1000,1000,1000,1000,1000
Run 14,1000,1000,1000,1000,1000
Run 15,1000,1000,1000,1000,1000
Run 16,1000,1000,1000,1000,1000
Run 17,1000,1000,1000,1000,1000
Run 18,1000,1000,1000,1000,1000
Run 19,1000,1000,1000,1000,1000
Run 20,1000,1000,1000,1000,1000
Run 21,1000,1000,1000,1000,1000
Run 22,1000,1000,1000,1000,1000
Run 23,1000,1000,1000,1000,1000
Run 24,1000,1000,1000,1000,1000
Run 25,1000,1000,1000,1000,1000
Run 26,1000,1000,1000,1000,1000
Run 27,1000,1000,1000,1000,1000
Run 28,1000,1000,1000,1000,1000
Run 29,1000,1000,1000,1000,1000
Run 30,1000,1000,1000,1000,1000
Run 31,1000,1000,1000,1000,1000
Run 32,1000,1000,1000,1000,1000
Run 33,1000,1000,1000,1000,1000
Run 34,1000,1000,1000,1000,1000
Run 35,1000,1000,1000,1000,1000
Run 36,1000,1000,1000,1000,1000
Run 37,1000,1000,1000,1000,1000
Run 38,1000,1000,1000,1000,1000
Run 39,1000,1000,1000,1000,1000
Run 40,1000,1000,1000,1000,1000
Run 41,1000,1000,1000,1000,1000
Run 42,1000,1000,1000,1000,1000
Run 43,1000,1000,1000,1000,1000
Run 44,1000,1000,1000,1000,1000
Run 45,1000,1000,1000,1000,1000
Run 46,1000,1000,1000,1000,1000
Run 47,1000,1000,1000,1000,1000
Run 48,1000,1000,1000,1000,1000
Run 49,1000,1000,1000,1000,1000
Run 50,1000,1000,1000,1000,1000
Run 51,1000,1000,1000,1000,1000
Run 52,1000,1000,1000,1000,1000
Run 53,1000,1000,1000,1000,1000
Run 54,1000,1000,1000,1000,1000
Run 55,1000,1000,1000,1000,1000
Run 56,1000,1000,1000,1000,1000
Run 57,1000,1000,1000,1000,1000
Run 58,1000,1000,1000,1000,1000
Run 59,1000,1000,1000,1000,1000
Run 60,1000,1000,1000,1000,1000
Run 61,1000,1000,1000,1000,1000
Run 62,1000,1000,1000,1000,1000
Run 63,1000,1000,1000,1000,1000
Run 64,1000,1000,1000,1000,1000
Run 65,1000,1000,1000,1000,1000
Run 66,1000,1000,1000,1000,1000
Run 67,1000,1000,1000,1000,1000
Run 68,1000,1000,1000,1000,1000
Run 69,1000,1000,1000,1000,1000
Run 70,1000,1000,1000,1000,1000
Run 71,1000,1000,1000,1000,1000
Run 72,1000,1000,1000,1000,1000
Run 73,1000,1000,1000,1000,1000
Run 74,1000,1000,1000,1000,1000
Run 75,1000,1000,1000,1000,1000
Run 76,1000,1000,1000,1000,1000
Run 77,1000,1000,1000,1000,1000
Run 78,1000,1000,1000,1000,1000
Run 79,1000,1000,1000,1000,1000
Run 80,1000,1000,1000,1000,1000
Run 81,1000,1000,1000,1000,1000
Run 82,1000,1000,1000,1000,1000
Run 83,1000,1000,1000,1000,1000
Run 84,1000,1000,1000,1000,1000
Run 85,1000,1000,1000,1000,1000
Run 86,1000,1000,1000,1000,1000
Run 87,1000,1000,1000,1000,1000
Run 88,1000,1000,1000,1000,1000
Run 89,1000,1000,1000,1000,1000
Run 90,1000,1000,1000,1000,1000
Run 91,1000,1000,1000,1000,1000
Run 92,1000,1000,1000,1000,1000
Run 93,1000,1000,1000,1000,1000
